"Step","Subsection","Problem ID","Problem","Completed","Revision","Difficulty","Problem URL","TUF Plus Solve URL","TUF Plus Editorial URL","Article URL","YouTube URL","Practice URL","Other Resources"
"Learn the basics","Patterns","421","Pattern 8","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-8?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-8?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","422","Pattern 9","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-9?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-9?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","402","Pattern 10","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-10?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-10?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","403","Pattern 11","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-11?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-11?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","404","Pattern 12","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-12?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-12?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","405","Pattern 13","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-13?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-13?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","406","Pattern 14","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-14?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-14?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","407","Pattern 15","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-15?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-15?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","408","Pattern 16","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-16?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-16?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","409","Pattern 17","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-17?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-17?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","410","Pattern 18","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-18?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-18?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","411","Pattern 19","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-19?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-19?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","413","Pattern 20","No","No","Medium","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-20?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-20?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","414","Pattern 21","No","No","Medium","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-21?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-21?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","415","Pattern 22","No","No","Medium","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-22?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-22?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Learn STL/Java-Collections or similar thing in your             language","1218","STL","Yes","No","Easy","https://takeuforward.org/c/c-stl-tutorial-most-frequent-used-stl-containers/","https://takeuforward.org/plus/dsa/problems/stl?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/stl?source=strivers-a2z-dsa-track","https://takeuforward.org/c/c-stl-tutorial-most-frequent-used-stl-containers/","https://www.youtube.com/watch?v=RRVYpIET_RU","",""
"Learn the basics","Learn STL/Java-Collections or similar thing in your             language","1217","Java Collections","Yes","No","Easy","https://takeuforward.org/data-structure/java-collections","https://takeuforward.org/plus/dsa/problems/java-collections?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/java-collections?source=strivers-a2z-dsa-track","https://takeuforward.org/data-structure/java-collections","","",""
"Learn the basics","Know Basic Maths","367","Count all Digits of a Number","Yes","No","Easy","https://takeuforward.org/data-structure/count-digits-in-a-number/","https://takeuforward.org/plus/dsa/problems/count-all-digits-of-a-number?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/count-all-digits-of-a-number?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/data-structure/count-digits-in-a-number/","https://youtu.be/1xNbjMdbjug","",""
"Learn the basics","Know Basic Maths","376","Reverse a number","Yes","No","Easy","https://takeuforward.org/maths/reverse-digits-of-a-number","https://takeuforward.org/plus/dsa/problems/reverse-a-number?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/reverse-a-number?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/maths/reverse-digits-of-a-number","https://youtu.be/1xNbjMdbjug?t=930","https://leetcode.com/problems/reverse-integer/",""
"Learn the basics","Know Basic Maths","374","Palindrome Number","Yes","No","Easy","https://takeuforward.org/data-structure/check-if-a-number-is-palindrome-or-not/","https://takeuforward.org/plus/dsa/problems/palindrome-number?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/palindrome-number?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/data-structure/check-if-a-number-is-palindrome-or-not/","https://youtu.be/1xNbjMdbjug?t=1230","https://leetcode.com/problems/palindrome-number/",""
"Learn the basics","Know Basic Maths","372","GCD of Two Numbers","Yes","No","Easy","https://takeuforward.org/data-structure/find-gcd-of-two-numbers/","https://takeuforward.org/plus/dsa/problems/gcd-of-two-numbers?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/gcd-of-two-numbers?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/data-structure/find-gcd-of-two-numbers/","https://youtu.be/1xNbjMdbjug?t=2684","",""
"Learn the basics","Know Basic Maths","366","Check if the Number is Armstrong","Yes","No","Easy","https://takeuforward.org/maths/check-if-a-number-is-armstrong-number-or-not/","https://takeuforward.org/plus/dsa/problems/check-if-the-number-if-armstrong?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/check-if-the-number-if-armstrong?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/maths/check-if-a-number-is-armstrong-number-or-not/","https://youtu.be/1xNbjMdbjug?t=1418","https://leetcode.com/problems/armstrong-number/",""
"Learn the basics","Know Basic Maths","2807","Print all Divisors","Yes","No","easy","https://takeuforward.org/data-structure/print-all-divisors-of-a-given-number/","https://takeuforward.org/plus/dsa/problems/divisors-of-a-number?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/divisors-of-a-number?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/data-structure/print-all-divisors-of-a-given-number/","https://youtu.be/1xNbjMdbjug?t=1580","",""
"Learn the basics","Know Basic Maths","365","Check for Prime Number","Yes","No","Easy","https://takeuforward.org/data-structure/check-if-a-number-is-prime-or-not/","https://takeuforward.org/plus/dsa/problems/check-for-prime-number?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/check-for-prime-number?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/data-structure/check-if-a-number-is-prime-or-not/","https://youtu.be/1xNbjMdbjug?t=2381","",""
"Learn the basics","Learn Basic Recursion","2401","Understand recursion by print something N times","Yes","No","Easy","https://takeuforward.org/recursion/introduction-to-recursion-understand-recursion-by-printing-something-n-times/","","https://takeuforward.org/plus/dsa/problems/recursion-theory?source=strivers-a2z-dsa-track","https://takeuforward.org/recursion/introduction-to-recursion-understand-recursion-by-printing-something-n-times/","https://www.youtube.com/watch?v=yVdKa8dnKiE&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9","",""
"Learn the basics","Learn Basic Recursion","2405","Print name N times using recursion","Yes","No","Easy","https://takeuforward.org/recursion/print-name-n-times-using-recursion/","","https://takeuforward.org/plus/dsa/problems/recursion-theory?source=strivers-a2z-dsa-track","https://takeuforward.org/recursion/print-name-n-times-using-recursion/","https://www.youtube.com/watch?v=un6PLygfXrA&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=2","",""
"Learn the basics","Learn Basic Recursion","850","Print 1 to N using Recursion","Yes","No","Easy","https://takeuforward.org/recursion/print-1-to-n-using-recursion/","https://takeuforward.org/plus/dsa/problems/print-1-to-n-using-recursion?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/print-1-to-n-using-recursion?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/recursion/print-1-to-n-using-recursion/","https://www.youtube.com/watch?v=un6PLygfXrA&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=2","",""
"Learn the basics","Learn Basic Recursion","852","Print N to 1 using Recursion","Yes","No","Easy","https://takeuforward.org/recursion/print-n-to-1-using-recursion/","https://takeuforward.org/plus/dsa/problems/print-n-to-1-using-recursion?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/print-n-to-1-using-recursion?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/recursion/print-n-to-1-using-recursion/","https://www.youtube.com/watch?v=un6PLygfXrA&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=2","",""
"Learn the basics","Learn Basic Recursion","386","Sum of First N Numbers","Yes","No","Easy","https://takeuforward.org/data-structure/sum-of-first-n-natural-numbers/","https://takeuforward.org/plus/dsa/problems/sum-of-first-n-numbers?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/sum-of-first-n-numbers?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/data-structure/sum-of-first-n-natural-numbers/","https://www.youtube.com/watch?v=69ZCDFy-OUo&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=3","",""
"Learn the basics","Learn Basic Recursion","371","Factorial of a given number","Yes","No","Easy","https://takeuforward.org/data-structure/factorial-of-a-number-iterative-and-recursive","https://takeuforward.org/plus/dsa/problems/factorial-of-a-given-number-i?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/factorial-of-a-given-number?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/data-structure/factorial-of-a-number-iterative-and-recursive","https://www.youtube.com/watch?v=69ZCDFy-OUo&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=3","",""
"Learn the basics","Learn Basic Recursion","342","Reverse an array","Yes","No","Easy","https://takeuforward.org/data-structure/reverse-a-given-array/","https://takeuforward.org/plus/dsa/problems/reverse-an-array?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/reverse-an-array?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/data-structure/reverse-a-given-array/","https://www.youtube.com/watch?v=twuC1F6gLI8&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=4","",""
"Learn the basics","Learn Basic Recursion","378","Check if String is Palindrome or Not","Yes","No","Easy","https://takeuforward.org/data-structure/check-if-the-given-string-is-palindrome-or-not/","https://takeuforward.org/plus/dsa/problems/check-if-string-is-palindrome-or-not-?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/check-if-string-is-palindrome-or-not-?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/data-structure/check-if-the-given-string-is-palindrome-or-not/","https://www.youtube.com/watch?v=twuC1F6gLI8&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=4","https://leetcode.com/problems/valid-palindrome/",""
"Learn the basics","Learn Basic Recursion","381","Fibonacci Number","Yes","No","Easy","https://takeuforward.org/arrays/print-fibonacci-series-up-to-nth-term/","https://takeuforward.org/plus/dsa/problems/fibonacci-number?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/fibonacci-number?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/arrays/print-fibonacci-series-up-to-nth-term/","https://www.youtube.com/watch?v=kvRjNm4rVBE&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=5","https://leetcode.com/problems/fibonacci-number/",""
"Learn the basics","Learn Basic Hashing","1203","Basic Hashing","Yes","No","Easy","https://takeuforward.org/hashing/hashing-maps-time-complexity-collisions-division-rule-of-hashing-strivers-a2z-dsa-course/","https://takeuforward.org/plus/dsa/problems/basic-hashing?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/basic-hashing?source=strivers-a2z-dsa-track","https://takeuforward.org/hashing/hashing-maps-time-complexity-collisions-division-rule-of-hashing-strivers-a2z-dsa-course/","https://www.youtube.com/watch?v=KEs5UyBJ39g","",""
"Learn the basics","Learn Basic Hashing","252","Counting Frequencies of Array Elements","Yes","No","Easy","https://takeuforward.org/data-structure/count-frequency-of-each-element-in-the-array/","https://takeuforward.org/plus/dsa/problems/counting-frequencies-of-array-elements?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/counting-frequencies-of-array-elements?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/data-structure/count-frequency-of-each-element-in-the-array/","","",""
